timestamp,metric,value,outcome,details
20180622 160110,objective8,18,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,objective9,48,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,shielding0,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,shielding1,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,shielding2,"8,692",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,shielding3,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,shielding4,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,shielding5,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,shielding6,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,shielding7,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,shielding8,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,shielding9,"11,501",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,streak0,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,streak1,11,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,streak2,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,streak3,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,streak4,15,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,streak5,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,streak6,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,streak7,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,streak8,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,streak9,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 161843,credit0,"2,906",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,credit1,"2,916",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,credit2,"2,831",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,credit3,2128,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,credit4,"2,895",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,credit5,"3,084",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,credit6,"3,219",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,credit7,"3,266",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,credit8,2.919,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,credit9,"3,749",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,damage0,"95,173",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,damage1,"88,228",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,damage2,"42,488",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,damage3,"35,895",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,damage4,"42,358",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,damage5,"55,406",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,damage6,77.170,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,damage7,"49,281",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,damage8,"36,857",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,damage9,"43,057",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,healing0,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,healing1,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,healing2,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,healing3,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,healing4,"78,775",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,healing5,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,healing6,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,healing7,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,healing8,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,healing9,"96,038",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,kda0,14/8/9,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,kda1,1n/10/8,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,kda2,3/7/10,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,kda3,3/8/11,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,kda4,4/5/20,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,kda5,15/9/8,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,kda6,13/7/9,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,kda7,3/6/14,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,kda8,1/8/12,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,kda9,6/5/24,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,name0,Truesnowy,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,name1,rampje,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,name2,euhedral,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,name3,Scharlachrott,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,name4,W vagynacream,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,name5,'W abominomas,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,name6,Vicieuxx,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,name7,FluffyMoose,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,name8,Beatsmeat,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,name9,TalasAmaruil,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,objective0,36,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,objective1,57,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,objective2,190,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,objective3,56,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,objective4,100,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,objective5,29,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,objective6,72,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,objective7,236,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,objective8,207,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,objective9,52,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,shielding0,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,shielding1,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,shielding2,"70,837",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,shielding3,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,shielding4,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,shielding5,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,shielding6,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,shielding7,"60,508",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,shielding8,"65,569",DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,shielding9,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,streak0,15,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,streak1,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,streak2,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,streak3,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,streak4,13,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,streak5,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,streak6,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,streak7,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,streak8,,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 161843,streak9,17,DEFEAT,SERPENT BEACH / SIEGE / 1337 / ID 250798902
20180622 163528,credit0,1717,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,credit1,"2,754",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,credit2,"2,955",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,credit3,"2,508",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,credit4,"2,213",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,credit5,"2,299",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,credit6,"3,197",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,credit7,"2,728",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,credit8,"3,401",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,credit9,"3,028",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,damage0,"19,521",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,damage1,"69,253",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,damage2,"76,372",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,damage3,"32,9094",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,damage4,"34,648",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,damage5,"25,960",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,damage6,"43,450",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,damage7,"43,054",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,damage8,"68,118",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,damage9,"47,076",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,healing0,,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,healing1,,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,healing2,,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,healing3,"50,365",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,healing4,,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,healing5,,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,healing6,,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,healing7,,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,healing8,"65,507",DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,healing9,,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,kda0,4/9/5,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
20180622 163528,kda1,10/9/8,DEFEAT,FROZEN GUARD / SIEGE / 1231 / iD 250804174
