timestamp,outcome,map,gametype,time,match_id,id,player_num,team,credit,damage,healing,kills,deaths,assists,name,objective,shielding,streak
2018-06-22T20:28:10Z,VICTORY,STONE KEEP,SIEGE,15:36,ID 250859436,9,6,red,"3,252",57903,NA,12,13,14,WOAHKookies,50,NA,NA
2018-06-22T20:28:10Z,VICTORY,STONE KEEP,SIEGE,15:36,ID 250859436,9,7,red,"3,740",70046,NA,16,10,6,BaconVEVO,210,"30,034",NA
2018-06-22T20:28:10Z,VICTORY,STONE KEEP,SIEGE,15:36,ID 250859436,9,8,red,2.774,41198,NA,NA,NA,5,Rendoxx,66,NA,NA
2018-06-22T20:28:10Z,VICTORY,STONE KEEP,SIEGE,15:36,ID 250859436,9,9,red,"4,494",72975,NA,13,13,17,KennyCancer,14,NA,1
2018-06-22T20:49:18Z,VICTORY,FISH MARKET,SIEGE,16:27,ID 250863344,10,0,blue,2.943,58570,NA,8,15,11,ArbyTheSpartan,28,NA,NA
2018-06-22T20:49:18Z,VICTORY,FISH MARKET,SIEGE,16:27,ID 250863344,10,1,blue,"3,127",33331,NA,7,710,7,deimanxox,205,NA,NA
2018-06-22T20:49:18Z,VICTORY,FISH MARKET,SIEGE,16:27,ID 250863344,10,2,blue,"3,302",65545,NA,16,1,9,MaxwellFenix,NA,NA,NA
2018-06-22T20:49:18Z,VICTORY,FISH MARKET,SIEGE,16:27,ID 250863344,10,3,blue,"3,322",29652,68341,7117,17,NA,W DestructivBage!,88,NA,NA
2018-06-22T20:49:18Z,VICTORY,FISH MARKET,SIEGE,16:27,ID 250863344,10,4,blue,"4,282",93889,NA,18,9,14,rampje,157,NA,NA
2018-06-22T20:49:18Z,VICTORY,FISH MARKET,SIEGE,16:27,ID 250863344,10,5,red,"3,014",48258,75195,4,12,20,'W Karvae,35,NA,NA
2018-06-22T20:49:18Z,VICTORY,FISH MARKET,SIEGE,16:27,ID 250863344,10,6,red,"3,358",77,NA,22,9,12,Toxuki,NA,NA,10
2018-06-22T20:49:18Z,VICTORY,FISH MARKET,SIEGE,16:27,ID 250863344,10,7,red,"2,867",629359,NA,NA,NA,7,ChronoRazer,80,NA,NA
2018-06-22T20:49:18Z,VICTORY,FISH MARKET,SIEGE,16:27,ID 250863344,10,8,red,"3,482",51086,NA,6,1,13,W Tomweasicy,216,"130,585",NA
2018-06-22T20:49:18Z,VICTORY,FISH MARKET,SIEGE,16:27,ID 250863344,10,9,red,"2,646",49670,NA,10,13,12,NA,NA,NA,NA
2018-06-22T21:07:07Z,DEFEAT,ASCENSION PEAK,siEGE,1311,ID 250867416,11,0,blue,"2,414",42525,24134,3,12,15,Kajoshin23,58,2308,NA
2018-06-22T21:07:07Z,DEFEAT,ASCENSION PEAK,siEGE,1311,ID 250867416,11,1,blue,"3,296",70958,NA,20,1,7,rampje,81,NA,NA
2018-06-22T21:07:07Z,DEFEAT,ASCENSION PEAK,siEGE,1311,ID 250867416,11,2,blue,"2,277",45694,NA,6,12,8,JtPepinatzo,31,NA,NA
2018-06-22T21:07:07Z,DEFEAT,ASCENSION PEAK,siEGE,1311,ID 250867416,11,3,blue,"2,859",55539,NA,15,12,5,W Bashious,19,NA,NA
2018-06-22T21:07:07Z,DEFEAT,ASCENSION PEAK,siEGE,1311,ID 250867416,11,4,blue,"2,507",8095,4539,0,10,4,W Ephixraliex,190,"98,471",NA
2018-06-22T21:07:07Z,DEFEAT,ASCENSION PEAK,siEGE,1311,ID 250867416,11,5,red,"3,639",39888,NA,20,5,3,'W Tovie,201,NA,NA
2018-06-22T21:07:07Z,DEFEAT,ASCENSION PEAK,siEGE,1311,ID 250867416,11,6,red,"2,615",16607,43485,1,9,20,CxrterPlays,57,NA,NA
2018-06-22T21:07:07Z,DEFEAT,ASCENSION PEAK,siEGE,1311,ID 250867416,11,7,red,2419,18182,NA,5,1,8,brushok,74,NA,NA
2018-06-22T21:07:07Z,DEFEAT,ASCENSION PEAK,siEGE,1311,ID 250867416,11,8,red,"3,367",60175,NA,21,8,9,GingyFindy,33,NA,12
